1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319789.994000 /muse/elements/alpha_session_score ffff  0.41379312 0.23529412 0.0 0.1875
1521319789.994000 /muse/elements/beta_session_score ffff  0.0 0.84375 0.8965517 0.55172414
1521319789.994000 /muse/elements/delta_session_score ffff  0.3880597 0.05785124 0.19298245 0.12765957
1521319789.994000 /muse/elements/gamma_session_score ffff  0.72727275 0.78571427 0.6363636 0.24444444
1521319789.994000 /muse/elements/theta_session_score ffff  0.8611111 0.0 0.19672132 0.025641026
1521319789.994000 /muse/eeg ffff  827.4251 837.295 827.4251 819.2002
1521319789.994000 /muse/eeg ffff  817.55524 830.7151 824.13513 824.13513
1521319789.994000 /muse/eeg ffff  797.8155 834.005 829.07007 825.78015
1521319789.994000 /muse/acc fff  -308.59424 933.5952 105.46892
1521319789.995000 /muse/drlref ff  1629032.2 1645161.2
1521319789.995000 /muse/acc fff  -308.59424 933.5952 105.46892
1521319789.995000 /muse/acc fff  -312.5005 933.5952 105.46892
1521319789.995000 /muse/acc fff  -312.5005 937.50146 105.46892
1521319789.995000 /muse/eeg ffff  801.1054 832.36005 815.9103 822.4902
1521319789.995000 /muse/eeg/quantization iiii  1 1 1 1
1521319789.995000 /muse/eeg ffff  814.26526 847.16486 825.78015 810.9753
1521319789.995000 /muse/eeg ffff  852.0998 845.5199 848.8099 822.4902
1521319789.995000 /muse/eeg ffff  801.1054 842.2299 848.8099 824.13513
1521319789.995000 /muse/eeg ffff  827.4251 845.5199 853.7448 838.94
1521319789.995000 /muse/eeg ffff  786.3006 822.4902 830.7151 829.07007
1521319789.995000 /muse/eeg ffff  797.8155 824.13513 822.4902 819.2002
1521319789.995000 /muse/eeg ffff  829.07007 825.78015 825.78015 819.2002
1521319789.995000 /muse/eeg ffff  789.5906 829.07007 822.4902 814.26526
1521319789.995000 /muse/eeg ffff  861.9697 845.5199 835.65 824.13513
1521319789.995000 /muse/eeg ffff  792.88055 835.65 830.7151 822.4902
1521319789.995000 /muse/eeg ffff  820.8452 840.58496 832.36005 819.2002
1521319789.995000 /muse/eeg ffff  819.2002 845.5199 840.58496 820.8452
1521319789.995000 /muse/eeg ffff  843.87494 835.65 829.07007 824.13513
1521319789.996000 /muse/eeg ffff  804.3954 834.005 834.005 817.55524
1521319789.996000 /muse/eeg ffff  820.8452 834.005 835.65 820.8452
1521319789.996000 /muse/acc fff  -312.5005 937.50146 105.46892
1521319789.996000 /muse/acc fff  -312.5005 937.50146 105.46892
1521319790.002000 /muse/acc fff  -312.5005 933.5952 105.46892
1521319790.002000 /muse/drlref ff  1629032.2 1645161.2
